title,date,url
Nur Otan-да екі аудандағы АӘК-тің таратылуындағы заң бұзушылықтар қаралды,22:27 2019-08-17,https://kaz.zakon.kz/news/4981980-nur-otan-da-ek-audanda-y-a-k-t.html
Асқар Мамин Арыс қаласын қалпына келтіру жұмыстарын және Түркістандағы құрылыс нысандарын тексерді,18:16 2019-08-17,https://kaz.zakon.kz/news/4981971-as-ar-mamin-arys-alasyn-alpyna-kelt-ru.html
Түркістанда шығыстық үлгідегі автобекет ашылды,15:25 2019-08-17,https://kaz.zakon.kz/news/4981963-t-rk-standa-shy-ysty-lg-deg-avtobeket.html
Бүгін арыстықтар 100 мың теңге жәрдемақыны алды,20:21 2019-08-16,https://kaz.zakon.kz/news/4981913-b-g-n-arysty-tar-100-my-te-ge-zh-rdema.html
АҚШ-тың санкциялары Ресейдің мұнайына деген сұранысты байқаусызда өсіріп жіберді,17:54 2019-08-16,https://kaz.zakon.kz/news/4981898-a-sh-ty-sanktsiyalary-reseyd-m-nayyna.html
Елбасы алдағы сайлауға партиялардың даярлық жұмысын жеделдетуді тапсырды,17:37 2019-08-16,https://kaz.zakon.kz/news/4981894-elbasy-alda-y-saylau-a-partiyalardy.html
"""Бір шындықты айтайын..."". Димаш Қадыр атасының ескі видеосын парақшасына жүктеді",16:50 2019-08-16,https://kaz.zakon.kz/news/4981884-b-r-shyndy-ty-aytayyn-dimash-adyr.html
2-3 сағат босқа тұрады. Линейканың керегі не?,16:25 2019-08-16,https://kaz.zakon.kz/news/4981875-2-3-sa-at-bos-a-t-rady-lineykany-kereg.html
Дала өрті кезінде мерт болған үш азаматқа медаль берілді,16:03 2019-08-16,https://kaz.zakon.kz/news/4981872-dala-rt-kez-nde-mert-bol-an-sh-azamat-a.html
"Білім министрі Аймағамбетов ""Әліппенің"" былығын айтты",15:23 2019-08-16,https://kaz.zakon.kz/news/4981863-b-l-m-ministr-ayma-ambetov-l-ppen-byly.html
Мұғалімдердің бес күндік жұмысқа көшуіне кедергі жоқ – Аймағамбетов,15:21 2019-08-16,https://kaz.zakon.kz/news/4981862-m-al-mderd-bes-k-nd-k-zh-mys-a-k-shu-ne.html
Алматыда мас оқушы қыз метрода құлады,15:05 2019-08-16,https://kaz.zakon.kz/news/4981858-almatyda-mas-k-ydeg-o-ushy-yz-metroda.html
Алматыда қан шығарғанды жақсы көретін азамат өлі табылды,15:03 2019-08-16,https://kaz.zakon.kz/news/4981857-almatyda-an-shy-ar-andy-zha-sy-k-ret-n.html
СҚО-да үкіметтік емес ұйымдар мәселелері көтерілді,14:52 2019-08-16,https://kaz.zakon.kz/news/4981853-s-o-da-k-mett-k-emes-yymdar-m-seleler-k.html
Тамыз конференциясында Тоқаев не деді - толық мәтіні,14:36 2019-08-16,https://kaz.zakon.kz/news/4981847-tamyz-konferentsiyasynda-to-aev-ne-ded.html
Нұротандықтар! Желіде Бауыржан Байбектің хаты пайда болды,12:56 2019-08-16,https://kaz.zakon.kz/news/4981815-n-rotandy-tar-zhel-de-bauyrzhan-baybekt.html
Президент 12 жылдық білім беру жүйесіне қалай көшу керектігін айтты,12:33 2019-08-16,https://kaz.zakon.kz/news/4981810-prezident-12-zhyldy-b-l-m-beru-zh-yes.html
Тоқаев мұғалімдердің жалақысын екі есеге өсіруді бұйырды,12:23 2019-08-16,https://kaz.zakon.kz/news/4981809-to-aev-m-al-mderd-zhala-ysyn-ek-esege-s.html
Атаулы әлеуметтік жәрдемақыны заңсыз алғандардан ақшаны қайтару талап етілді,11:44 2019-08-16,https://kaz.zakon.kz/news/4981798-atauly-leumett-k-zh-rdema-yny-za-syz-al.html
Алматы облысында мектепте оқымайтын 8 жасар бала анықталды,11:23 2019-08-16,https://kaz.zakon.kz/news/4981794-almaty-oblysynda-mektepte-o-ymaytyn-8.html
"Путинді қорға, халықты тепкіле – симулятор ОМОН деген ойын шықты",10:59 2019-08-16,https://kaz.zakon.kz/news/4981788-putind-or-a-haly-ty-tepk-le-simulyator.html
Нұртілеу Иманғалиұлы телевидениеге оралды!,10:59 2019-08-16,https://kaz.zakon.kz/news/4981787-n-rt-leu-iman-ali-ly-televideniege.html
Елшілер Тоқаевтың Қытайға мемлекеттік сапары дайындығын талқылады,10:45 2019-08-16,https://kaz.zakon.kz/news/4981783-elsh-ler-to-aevty-ytay-a-memlekett-k.html
Олар ВИЧ-ті Теңіз кенішінде жұқтырмаған -  облыстық денсаулық сақтау басқармасының басшысы,09:53 2019-08-16,https://kaz.zakon.kz/news/4981775-olar-vich-t-te-z-ken-sh-nde-zh-tyrma-an.html
"Трагикомедия. ""Оқулық"" орталығы vs министр",09:50 2019-08-16,https://kaz.zakon.kz/news/4981774-tragikomediya-o-uly-ortaly-y-vs-ministr.html
"Шетелдіктерді мұнай компаниясына заңсыз ""тықпалаған"" осы әкім екен!",09:45 2019-08-16,https://kaz.zakon.kz/news/4981773-sheteld-kterd-m-nay-kompaniyasyna-za.html
"Бұршақ, дауыл, қатты жаңбыр – жұмадағы ауа-райы",09:36 2019-08-16,https://kaz.zakon.kz/news/4981768-b-rsha-dauyl-atty-zha-byr-zh-mada-y-aua.html
Республикалық тамыз кеңесінде жекеге тиесілі мектептер жайы да талқыланады,09:23 2019-08-16,https://kaz.zakon.kz/news/4981760-respublikaly-tamyz-ke-es-nde-zhekege.html
Заречныйдағы азаптау оқиғасына байланысты 7 түрме қызметкері қамауға алынды,17:52 2019-08-15,https://kaz.zakon.kz/news/4981712-zarechnyyda-y-azaptau-o-i-asyna.html
Үкімет басшысы жұмыс сапарымен Қостанай облысында жүр,17:29 2019-08-15,https://kaz.zakon.kz/news/4981708-k-met-basshysy-zh-mys-saparmen-ostanay.html
Тасмағамбетов қызметінен босатылды,16:57 2019-08-15,https://kaz.zakon.kz/news/4981702-tasma-ambetov-yzmet-nen-bosatyldy.html
Қасым-Жомарт Тоқаев мұғалімдердің тамыз конференциясына қатысады,16:23 2019-08-15,https://kaz.zakon.kz/news/4981694-asym-zhomart-to-aev-m-al-mderd-tamyz.html
"Сүрбойдақ Кенталды қай сұлу ""қақпанға түсіргені"" белгілі болды",16:05 2019-08-15,https://kaz.zakon.kz/news/4981691-s-rboyda-kentaldy-ay-s-lu-a-pan-a-t-s.html
5 қызынан айырылған Жанымгүл мен Евгений Ситерлер отбасы бала асырап алмақ,16:04 2019-08-15,https://kaz.zakon.kz/news/4981690-5-yzynan-ayyryl-an-zhanymg-l-men.html
"""Всеобучтың"" жәрдемақысын жеп қоятындар кімдер?",15:53 2019-08-15,https://kaz.zakon.kz/news/4981688-vseobuchty-zh-rdema-ysyn-zhep-oyatyndar.html
Атырауда балықтың жаппай қырылу оқиғасы бойынша сот отырысы өтті,15:32 2019-08-15,https://kaz.zakon.kz/news/4981683-atyrauda-baly-ty-zhappay-yryluy.html
"Алматыда ағаш құлап, біреудің жап-жақсы мәшинесін талқандады",15:31 2019-08-15,https://kaz.zakon.kz/news/4981682-almatyda-a-ash-lap-b-reud-zhap-zha-sy-m.html
"""Өз алдына бөлек халық"". Атақты рэпер шымкентскийлерді сөз қылды",15:14 2019-08-15,https://kaz.zakon.kz/news/4981678-z-aldyna-b-lek-haly-ata-ty-reper.html
Ұятсыз видео шыққан Теңіз кенішінде тағы бір масқара жағдай анықталды,14:27 2019-08-15,https://kaz.zakon.kz/news/4981670-yatsyz-video-shy-an-te-z-ken-sh-nde-ta.html
"Пах, шіркін-ай. Индонезия еркектері волейболшы қызымызға сұқтанды",12:51 2019-08-15,https://kaz.zakon.kz/news/4981647-pah-sh-rk-n-ay-indoneziya-erkekter.html
"""Астана су арнасының"" бұрынғы бас директоры 7 жылға сотталды",12:34 2019-08-15,https://kaz.zakon.kz/news/4981642-astana-su-arnasyny-b-ryn-y-bas.html
Миллиардер Эпштейннің үйінен әйелше киінген Клинтонның портреті табылды,11:56 2019-08-15,https://kaz.zakon.kz/news/4981638-milliarder-epshteynn-y-nen-yelshe-ki.html
Белгілі заңгер жұманы түске дейін ғана жұмыс күні етуді ұсынды,11:07 2019-08-15,https://kaz.zakon.kz/news/4981625-belg-l-za-ger-zh-many-t-ske-dey-n-ana.html
Мылжың деген осы. Бердімұхамедовтің сөзі жұртты қалғытты,10:08 2019-08-15,https://kaz.zakon.kz/news/4981613-mylzhy-degen-osy-berd-m-hamedovt-s-z-zh.html
18 жастағы алматылық бойжеткенді өгей әкесі жылдар бойы зорлаған,09:28 2019-08-15,https://kaz.zakon.kz/news/4981596-18-zhasta-y-almatyly-boyzhetkend-gey.html
"Қазақстан халқының саны 18,5 млн адамға жетті",09:16 2019-08-15,https://kaz.zakon.kz/news/4981589-aza-stan-hal-yny-sany-18-5-mln-adam-a.html
"""Түк масқара емес..."". Айжан Нұрмағамбетова Қайрат Нұртасты әбден мақтады",17:40 2019-08-14,https://kaz.zakon.kz/news/4981540-t-k-mas-ara-emes-ayzhan-n-rma-ambetova.html
"""Қатайып жүрем..."". Қуат Хамитов комедияға түсті",17:20 2019-08-14,https://kaz.zakon.kz/news/4981534-atayyp-zh-rem-uat-hamitov-komediya-a-t.html
Тоқаев белгілі археолог Зейнолла Самашевты қабылдады,16:44 2019-08-14,https://kaz.zakon.kz/news/4981523-to-aev-belg-l-arheolog-zeynolla.html
"Шындығы сол: қазақтар әлі тайпалық, рулық деңгейде жүр",16:37 2019-08-14,https://kaz.zakon.kz/news/4981521-shyndy-y-sol-aza-tar-l-taypaly-ruly-de.html
