title,date,url,tokens,stem,lemma,pos_tags,named_entities
Nur Otan-да екі аудандағы АӘК-тің таратылуындағы заң бұзушылықтар қаралды,22:27 2019-08-17,https://kaz.zakon.kz/news/4981980-nur-otan-da-ek-audanda-y-a-k-t.html,"nur,otan,да,екі,аудандағы,аәк,тің,таратылуындағы,заң,бұзушылықтар,қаралды",nur otan-да екі аудандағы аәк-тің таратылуындағы заң бұзушылықтар қаралды,Nur Otan-да екі аудандағы АӘК-тің таратылуындағы заң бұзушылықтар қаралды,"[('Nur', 'NNP'), ('Otan', 'NNP'), ('-', ':'), ('да', 'NN'), ('екі', 'JJ'), ('аудандағы', 'NNP'), ('АӘК', 'NNP'), ('-', ':'), ('тің', 'NN'), ('таратылуындағы', 'JJ'), ('заң', 'NNP'), ('бұзушылықтар', 'NNP'), ('қаралды', 'NN')]","['Nur Otan', 'АӘК']"
Асқар Мамин Арыс қаласын қалпына келтіру жұмыстарын және Түркістандағы құрылыс нысандарын тексерді,18:16 2019-08-17,https://kaz.zakon.kz/news/4981971-as-ar-mamin-arys-alasyn-alpyna-kelt-ru.html,"асқар,мамин,арыс,қаласын,қалпына,келтіру,жұмыстарын,және,түркістандағы,құрылыс,нысандарын,тексерді",асқар мамин арыс қаласын қалпына келтіру жұмыстарын және түркістандағы құрылыс нысандарын тексерді,Асқар Мамин Арыс қаласын қалпына келтіру жұмыстарын және Түркістандағы құрылыс нысандарын тексерді,"[('Асқар', 'JJ'), ('Мамин', 'NNP'), ('Арыс', 'NNP'), ('қаласын', 'NNP'), ('қалпына', 'NNP'), ('келтіру', 'NNP'), ('жұмыстарын', 'NNP'), ('және', 'NNP'), ('Түркістандағы', 'NNP'), ('құрылыс', 'NNP'), ('нысандарын', 'NNP'), ('тексерді', 'NN')]",['Асқар Мамин Арыс']
Түркістанда шығыстық үлгідегі автобекет ашылды,15:25 2019-08-17,https://kaz.zakon.kz/news/4981963-t-rk-standa-shy-ysty-lg-deg-avtobeket.html,"түркістанда,шығыстық,үлгідегі,автобекет,ашылды",түркістанда шығыстық үлгідегі автобекет ашылды,Түркістанда шығыстық үлгідегі автобекет ашылды,"[('Түркістанда', 'JJ'), ('шығыстық', 'NNP'), ('үлгідегі', 'NNP'), ('автобекет', 'NNP'), ('ашылды', 'NN')]",['Түркістанда']
Бүгін арыстықтар 100 мың теңге жәрдемақыны алды,20:21 2019-08-16,https://kaz.zakon.kz/news/4981913-b-g-n-arysty-tar-100-my-te-ge-zh-rdema.html,"бүгін,арыстықтар,100,мың,теңге,жәрдемақыны,алды",бүгін арыстықтар 100 мың теңге жәрдемақыны алды,Бүгін арыстықтар 100 мың теңге жәрдемақыны алды,"[('Бүгін', 'JJ'), ('арыстықтар', '$'), ('100', 'CD'), ('мың', 'NNP'), ('теңге', 'NNP'), ('жәрдемақыны', 'NNP'), ('алды', 'NN')]",[]
АҚШ-тың санкциялары Ресейдің мұнайына деген сұранысты байқаусызда өсіріп жіберді,17:54 2019-08-16,https://kaz.zakon.kz/news/4981898-a-sh-ty-sanktsiyalary-reseyd-m-nayyna.html,"ақш,тың,санкциялары,ресейдің,мұнайына,деген,сұранысты,байқаусызда,өсіріп,жіберді",ақш-тың санкциялары ресейдің мұнайына деген сұранысты байқаусызда өсіріп жіберді,АҚШ-тың санкциялары Ресейдің мұнайына деген сұранысты байқаусызда өсіріп жіберді,"[('АҚШ', 'SYM'), ('-', ':'), ('тың', 'NN'), ('санкциялары', 'JJ'), ('Ресейдің', 'NNP'), ('мұнайына', 'NNP'), ('деген', 'NNP'), ('сұранысты', 'NNP'), ('байқаусызда', 'NNP'), ('өсіріп', 'NNP'), ('жіберді', 'NN')]","['АҚШ', 'Ресейдің']"
Елбасы алдағы сайлауға партиялардың даярлық жұмысын жеделдетуді тапсырды,17:37 2019-08-16,https://kaz.zakon.kz/news/4981894-elbasy-alda-y-saylau-a-partiyalardy.html,"елбасы,алдағы,сайлауға,партиялардың,даярлық,жұмысын,жеделдетуді,тапсырды",елбасы алдағы сайлауға партиялардың даярлық жұмысын жеделдетуді тапсырды,Елбасы алдағы сайлауға партиялардың даярлық жұмысын жеделдетуді тапсырды,"[('Елбасы', 'JJ'), ('алдағы', 'NNP'), ('сайлауға', 'NNP'), ('партиялардың', 'NNP'), ('даярлық', 'NNP'), ('жұмысын', 'NNP'), ('жеделдетуді', 'NNP'), ('тапсырды', 'NN')]",['Елбасы']
"""Бір шындықты айтайын..."". Димаш Қадыр атасының ескі видеосын парақшасына жүктеді",16:50 2019-08-16,https://kaz.zakon.kz/news/4981884-b-r-shyndy-ty-aytayyn-dimash-adyr.html,"бір,шындықты,айтайын,..."".,димаш,қадыр,атасының,ескі,видеосын,парақшасына,жүктеді","""бір шындықты айтайын..."". димаш қадыр атасының ескі видеосын парақшасына жүктеді","""Бір шындықты айтайын..."". Димаш Қадыр атасының ескі видеосын парақшасына жүктеді","[('""', 'JJ'), ('Бір', 'NNP'), ('шындықты', 'NNP'), ('айтайын', 'NNP'), ('..."".', 'NNP'), ('Димаш', 'NNP'), ('Қадыр', 'NNP'), ('атасының', 'NNP'), ('ескі', 'NNP'), ('видеосын', 'NNP'), ('парақшасына', 'NNP'), ('жүктеді', 'NN')]",[]
2-3 сағат босқа тұрады. Линейканың керегі не?,16:25 2019-08-16,https://kaz.zakon.kz/news/4981875-2-3-sa-at-bos-a-t-rady-lineykany-kereg.html,"2,3,сағат,босқа,тұрады,линейканың,керегі,не",2-3 сағат босқа тұрады. линейканың керегі не?,2-3 сағат босқа тұрады. Линейканың керегі не?,"[('2', 'CD'), ('-', ':'), ('3', 'CD'), ('сағат', 'JJ'), ('босқа', 'NNP'), ('тұрады', 'NNP'), ('.', '.'), ('Линейканың', 'VB'), ('керегі', 'JJ'), ('не', 'NN'), ('?', '.')]",[]
Дала өрті кезінде мерт болған үш азаматқа медаль берілді,16:03 2019-08-16,https://kaz.zakon.kz/news/4981872-dala-rt-kez-nde-mert-bol-an-sh-azamat-a.html,"дала,өрті,кезінде,мерт,болған,үш,азаматқа,медаль,берілді",дала өрті кезінде мерт болған үш азаматқа медаль берілді,Дала өрті кезінде мерт болған үш азаматқа медаль берілді,"[('Дала', 'JJ'), ('өрті', 'NNP'), ('кезінде', 'NNP'), ('мерт', 'NNP'), ('болған', 'NNP'), ('үш', 'NNP'), ('азаматқа', 'NNP'), ('медаль', 'NNP'), ('берілді', 'NN')]",['Дала']
"Білім министрі Аймағамбетов ""Әліппенің"" былығын айтты",15:23 2019-08-16,https://kaz.zakon.kz/news/4981863-b-l-m-ministr-ayma-ambetov-l-ppen-byly.html,"білім,министрі,аймағамбетов,әліппенің,былығын,айтты","білім министрі аймағамбетов ""әліппенің"" былығын айтты","Білім министрі Аймағамбетов ""Әліппенің"" былығын айтты","[('Білім', 'JJ'), ('министрі', 'NNP'), ('Аймағамбетов', 'NNP'), ('""', 'NNP'), ('Әліппенің', 'NNP'), ('""', 'NNP'), ('былығын', 'NNP'), ('айтты', 'NN')]",['Білім']
Мұғалімдердің бес күндік жұмысқа көшуіне кедергі жоқ – Аймағамбетов,15:21 2019-08-16,https://kaz.zakon.kz/news/4981862-m-al-mderd-bes-k-nd-k-zh-mys-a-k-shu-ne.html,"мұғалімдердің,бес,күндік,жұмысқа,көшуіне,кедергі,–,аймағамбетов",мұғалімдердің бес күндік жұмысқа көшуіне кедергі жоқ – аймағамбетов,Мұғалімдердің бес күндік жұмысқа көшуіне кедергі жоқ – Аймағамбетов,"[('Мұғалімдердің', 'JJ'), ('бес', 'NNP'), ('күндік', 'NNP'), ('жұмысқа', 'NNP'), ('көшуіне', 'NNP'), ('кедергі', 'NNP'), ('жоқ', 'NNP'), ('–', 'NNP'), ('Аймағамбетов', 'NN')]",['Мұғалімдердің']
